# i,j,covariance_ij
13,10,-5.500187128807843e-06
13,11,-3.3050526710566994e-06
13,12,1.1966396948339538e-05
13,13,2.216015759321164e-05
13,14,6.520024312490581e-06
13,15,1.3528362142057109e-05
13,16,3.147939785337859e-05
13,17,5.6471287854645016e-05
13,18,-7.912913323958833e-05
13,19,-4.449466843973857e-05
13,20,-1.9621137601884183e-05
13,21,-1.4482516675380535e-07
13,22,3.704648452321965e-05
13,23,0.0
13,24,0.0
13,25,0.0
14,0,-9.172644989658915e-07
14,1,-1.359657798438493e-06
14,2,-2.0343664609281167e-06
14,3,3.3791728627489366e-06
14,4,9.284845834745499e-07
14,5,-5.166001911824929e-07
14,6,1.3337861803866948e-06
14,7,-4.4598990495062503e-07
14,8,1.999054874923035e-06
14,9,-1.54057997112444e-06
14,10,1.5086547129420731e-06
14,11,-2.327221470270686e-06
14,12,4.26450311695193e-06
14,13,6.520024312490581e-06
14,14,3.3074788029725434e-06
14,15,9.64887529110731e-06
14,16,1.9857352442559945e-05
14,17,3.747605140315029e-05
14,18,-4.9937040993401734e-05
14,19,-2.2688556019728764e-05
14,20,-9.120022794059416e-06
14,21,-4.8013604804913885e-06
14,22,3.4241365434832353e-06
14,23,0.0
14,24,0.0
14,25,0.0
15,0,-2.4874532650852633e-06
15,1,-3.329903261863541e-06
15,2,-3.7535493812639287e-06
15,3,1.3096166580806732e-05
15,4,8.580966441684475e-06
15,5,-1.3627155035097386e-06
15,6,3.1217090211916617e-06
15,7,3.2119792321953726e-07
15,8,5.7587024862538265e-06
15,9,-5.627466410192004e-06
15,10,9.402016601382316e-06
15,11,-7.546070275228651e-06
15,12,1.0340070300915082e-05
15,13,1.3528362142057109e-05
15,14,9.64887529110731e-06
15,15,3.138979465729746e-05
15,16,6.245317185250072e-05
15,17,0.0001195997301967638
15,18,-0.00015707710813423273
15,19,-6.632555097525304e-05
15,20,-2.5636259632196476e-05
15,21,-1.950697540352214e-05
15,22,-7.889515455992168e-06
15,23,0.0
15,24,0.0
15,25,0.0
16,0,-5.244011079016963e-06
16,1,-7.274608361281434e-06
16,2,-9.169630072747399e-06
16,3,2.4806992434628936e-05
16,4,1.3769909192361221e-05
16,5,-2.900082929777782e-06
16,6,6.9340556900669285e-06
16,7,-4.1353914292573644e-07
16,8,1.1899823582980447e-05
16,9,-1.0830733991837336e-05
16,10,1.6036873585510334e-05
16,11,-1.5028439176935196e-05
16,12,2.2671302971224044e-05
16,13,3.147939785337859e-05
16,14,1.9857352442559945e-05
16,15,6.245317185250072e-05
16,16,0.00012553213647043164
16,17,0.0002393324044365694
16,18,-0.0003157155075317297
16,19,-0.00013640737597962174
16,20,-5.340150619504626e-05
16,21,-3.6502197727882e-05
16,22,-4.3941186274704335e-06
16,23,0.0
16,24,0.0
16,25,0.0
17,0,-9.795990358205294e-06
17,1,-1.338849365331803e-05
17,2,-1.613845048207002e-05
17,3,4.854982782678305e-05
17,4,2.9129306604189352e-05
17,5,-5.3959844608058846e-06
17,6,1.2674772292940549e-05
