# i,j,covariance_ij
15,16,9.427776251889505e-06
15,17,9.643592891870686e-06
15,18,-2.0947299880440027e-05
15,19,-2.5818567930355488e-06
15,20,-4.4315146378231805e-07
15,21,-3.1996207700957274e-06
15,22,-1.4919609091953405e-06
15,23,0.0
15,24,0.0
15,25,0.0
16,0,-3.270370460383923e-06
16,1,1.2806341961424388e-06
16,2,-1.959578838080536e-06
16,3,1.5597739955781537e-06
16,4,4.107838995510625e-06
16,5,3.304543381566423e-06
16,6,7.614620038029844e-06
16,7,8.891931255396636e-06
16,8,6.360135294924584e-06
16,9,3.3539340369793954e-06
16,10,6.487732135864559e-06
16,11,1.2732872137490237e-05
16,12,9.023422028724592e-06
16,13,1.3411120189159375e-05
16,14,9.550625131414476e-06
16,15,9.427776251889505e-06
16,16,8.128956303378641e-05
16,17,0.0002150302330962186
16,18,-0.00014745492637499032
16,19,-0.00011559147367690243
16,20,-4.85112313587945e-05
16,21,-2.4766762756392833e-05
16,22,-6.797257224114787e-06
16,23,0.0
16,24,0.0
16,25,0.0
17,0,-8.369306090919608e-06
17,1,4.362685443373758e-06
17,2,-4.741685513191483e-06
17,3,4.730050656351234e-06
17,4,1.2618906475134672e-05
17,5,9.823324699134334e-06
17,6,2.1360483510138173e-05
17,7,2.5002712368892962e-05
17,8,1.8557887223539196e-05
17,9,1.084080183190541e-05
17,10,2.064850390818432e-05
17,11,3.882673132048305e-05
17,12,2.825435589763693e-05
17,13,4.085187778931525e-05
17,14,2.7811157623375942e-05
17,15,9.643592891870686e-06
17,16,0.0002150302330962186
17,17,0.0006518903257021338
17,18,-0.00036579547976249994
17,19,-0.0003674375897372653
17,20,-0.00015832072362948634
17,21,-9.647562845322013e-05
17,22,-4.154080900689769e-06
17,23,0.0
17,24,0.0
17,25,0.0
18,0,5.601234472573147e-06
18,1,-2.2807592793278014e-06
18,2,3.5621804929156125e-06
18,3,-3.1447690703517687e-06
18,4,-6.863205277347709e-06
18,5,-5.609935403681915e-06
18,6,-1.3717378506935182e-05
18,7,-1.5879797850042925e-05
18,8,-1.0944595379049493e-05
18,9,-5.680888278714552e-06
18,10,-1.0740755548972046e-05
18,11,-2.1623056723469525e-05
18,12,-1.5630149629999242e-05
18,13,-2.4848208184912363e-05
18,14,-1.7652871848730834e-05
18,15,-2.0947299880440027e-05
18,16,-0.00014745492637499032
18,17,-0.00036579547976249994
18,18,0.0003431817555890566
18,19,0.00018902697614116553
18,20,7.587657797267131e-05
18,21,-1.469969224294969e-05
18,22,3.0054923468549877e-05
18,23,0.0
18,24,0.0
18,25,0.0
19,0,4.438955123652407e-06
