# i,j,covariance_ij
12,15,-1.3356742517809364e-05
12,16,5.496534945438977e-05
12,17,7.948993129951819e-05
12,18,-0.0002523080481928944
12,19,0.00014906857339697717
12,20,-2.9710352687194426e-05
12,21,-3.809117132919324e-05
12,22,-4.3115939340113976e-05
12,23,3.5147652809196044e-05
12,24,1.4802686748978495e-05
12,25,5.299630967281751e-06
13,0,1.7695906601044092e-08
13,1,-9.451510161998635e-08
13,2,-6.486905563743646e-07
13,3,1.2844931385321646e-07
13,4,-2.3093024975766612e-07
13,5,6.997348237794491e-08
13,6,4.6458000691641773e-08
13,7,-5.144437296427713e-08
13,8,-9.616817611437156e-08
13,9,5.864996586595169e-08
13,10,2.5379858487899754e-07
13,11,-2.2408701255519796e-06
13,12,-8.676376844711972e-07
13,13,5.396990679285043e-08
13,14,5.57273033994949e-07
13,15,8.308331480341599e-07
13,16,-3.419024830275622e-06
13,17,-4.94453417594438e-06
13,18,1.5694387286042977e-05
13,19,-9.272553689137413e-06
13,20,1.8480812832465513e-06
13,21,2.3693956625685284e-06
13,22,2.681952696522591e-06
13,23,-2.1862991661731465e-06
13,24,-9.207756168556006e-07
13,25,-3.296544104294203e-07
14,0,1.8272130057044055e-07
14,1,-9.759275227262051e-07
14,2,-6.6981356084628695e-06
14,3,1.3263194824533948e-06
14,4,-2.384499225051729e-06
14,5,7.225199586432333e-07
14,6,4.797079064476048e-07
14,7,-5.311953180465425e-07
14,8,-9.929965505168504e-07
14,9,6.055975702768649e-07
14,10,2.620629084315556e-06
14,11,-2.313838521989857e-05
14,12,-8.958901609547871e-06
14,13,5.57273033994949e-07
14,14,5.754192528253087e-06
14,15,8.578871757657103e-06
14,16,-3.530356922395439e-05
14,17,-5.105540709003528e-05
14,18,0.00016205436213100042
14,19,-9.574491479224117e-05
14,20,1.9082594819684157e-05
14,21,2.446549175417427e-05
14,22,2.7692838565733283e-05
14,23,-2.257490594212657e-05
14,24,-9.507583987557792e-06
14,25,-3.4038879143322056e-06
15,0,2.724174760037125e-07
15,1,-1.455001204969737e-06
15,2,-9.986187656783962e-06
15,3,1.9773972966288905e-06
15,4,-3.5550275659896714e-06
15,5,1.0771982406069726e-06
15,6,7.151920256998337e-07
15,7,-7.919541255204821e-07
15,8,-1.48044925866708e-06
15,9,9.028797466620761e-07
15,10,3.907071362027371e-06
15,11,-3.449680185467156e-05
15,12,-1.3356742517809364e-05
15,13,8.308331480341599e-07
15,14,8.578871757657103e-06
15,15,1.2790159570255109e-05
15,16,-5.2633760770570065e-05
15,17,-7.61180283436504e-05
15,18,0.0002416053310112026
15,19,-0.00014274519690077295
15,20,2.8450061925735024e-05
15,21,3.647537255949231e-05
15,22,4.128699369971401e-05
15,23,-3.365671587590596e-05
15,24,-1.417476793727903e-05
15,25,-5.074824617201359e-06
16,0,-1.121045924637821e-06
16,1,5.987586388004762e-06
16,2,4.1094922174352746e-05
16,3,-8.137338372320328e-06
16,4,1.4629564972452509e-05
16,5,-4.432860605620693e-06
16,6,-2.943141231267189e-06
16,7,3.2590308005891173e-06
16,8,6.092309613936792e-06
16,9,-3.7155092811290674e-06
16,10,-1.60782872373806e-05
16,11,0.00014196041935169739
16,12,5.496534945438977e-05
16,13,-3.419024830275622e-06
16,14,-3.530356922395439e-05
16,15,-5.2633760770570065e-05
16,16,0.00021659720175002826
16,17,0.00031323910168286166
16,18,-0.0009942485176582037
16,19,0.0005874216426741067
16,20,-0.0001170770188660886
16,21,-0.00015010258650552876
16,22,-0.00016990325549812017
16,23,0.0001385033174922421
16,24,5.8331668224387175e-05
16,25,2.0883797687369158e-05
17,0,-1.621237096054674e-06
17,1,8.659143175781574e-06
17,2,5.943076088525548e-05
17,3,-1.176807706304898e-05
17,4,2.115702212658657e-05
17,5,-6.410725820883283e-06
17,6,-4.2563196013579405e-06
17,7,4.713153596099861e-06
17,8,8.810592081636505e-06
17,9,-5.373304826247842e-06
17,10,-2.3252139040321015e-05
17,11,0.00020530068658766606
17,12,7.948993129951819e-05
17,13,-4.94453417594438e-06
17,14,-5.105540709003528e-05
17,15,-7.61180283436504e-05
17,16,0.00031323910168286166
17,17,0.00045300093459343764
17,18,-0.0014378648939343097
17,19,0.0008495189511850845
17,20,-0.00016931474608635502
17,21,-0.0002170757469504554
17,22,-0.00024571112966937465
17,23,0.0002003010860751364
17,24,8.435824288882985e-05
17,25,3.0201784577382183e-05
18,0,5.145949438831006e-06
18,1,-2.7484883657428866e-05
18,2,-0.0001886384732813112
18,3,3.7352913837270535e-05
18,4,-6.715425301122752e-05
18,5,2.034820879731539e-05
18,6,1.350993356702385e-05
18,7,-1.4959964931715638e-05
18,8,-2.7965595833329782e-05
18,9,1.7055343121981916e-05
18,10,7.38043387591751e-05
18,11,-0.0006516424744464351
18,12,-0.0002523080481928944
18,13,1.5694387286042977e-05
18,14,0.00016205436213100042
18,15,0.0002416053310112026
18,16,-0.0009942485176582037
18,17,-0.0014378648939343097
18,18,0.004563909906861974
18,19,-0.0026964480277225076
18,20,0.0005374199274919072
18,21,0.0006890175538925901
18,22,0.0007799087825671184
18,23,-0.0006357733017545196
18,24,-0.0002677604982707009
18,25,-9.586312623606139e-05
19,0,-3.040328467972813e-06
19,1,1.623861159459517e-05
19,2,0.00011145133221565138
19,3,-2.2068838540121287e-05
19,4,3.967605776201818e-05
19,5,-1.2022123266875044e-05
19,6,-7.981935328454167e-06
19,7,8.838642470630711e-06
19,8,1.6522625833496194e-05
19,9,-1.0076633251294724e-05
19,10,-4.360505964092865e-05
19,11,0.0003850032320663083
19,12,0.00014906857339697717
19,13,-9.272553689137413e-06
19,14,-9.574491479224117e-05
19,15,-0.00014274519690077295
19,16,0.0005874216426741067
19,17,0.0008495189511850845
19,18,-0.0026964480277225076
19,19,0.0015931147009007973
19,20,-0.0003175182974943313
19,21,-0.00040708516648552877
19,22,-0.000460785497845755
19,23,0.00037562741171052815
19,24,0.00015819818580960055
19,25,5.6637826544712055e-05
20,0,6.059575738196571e-07
20,1,-3.2364627005652328e-06
20,2,-2.2212987701751384e-05
20,3,4.398465494653001e-06
20,4,-7.907700747949612e-06
20,5,2.396088687027219e-06
20,6,1.5908525072096733e-06
20,7,-1.7615999073066797e-06
20,8,-3.29306861698105e-06
20,9,2.008339658542327e-06
20,10,8.690776810670198e-06
20,11,-7.67336907420336e-05
20,12,-2.9710352687194426e-05
20,13,1.8480812832465513e-06
20,14,1.9082594819684157e-05
20,15,2.8450061925735024e-05
